Code2,Practice Specialty
ADD,Addiction Medicine
ADO,Adolescent Medicine
AER,Aerospace Medicine
AIM,Allergy/Immunology
ANS,Anesthesiology
BAR,Bariatrician
CAR,Cardiology
CCM,Critical Care Med
CRS,Colon-Rectal Surgery
DER,Dermatology
DNT,Dentist/Oral Surgeon
DOP,Osteopathic Manipulation
DYS,Dialysis
EMR,Emergency Medicine
END,Endocrinology
FMP,Family Practice
FOR,Forensic Psych
GAS,Gastroenterology
GEN,Genetic Specialist
GER,Geriatric Medicine
GNP,General Practice
GNS,General Surgery
GPM,General Preventative Medicine
GYO,Gynecologic Oncology
HNS,Head & Neck Surgery
HTM,Holistic Medicine
IMP,Internal Medicine/Pediatrics
INF,Infectious Disease
INT,Internal Medicine
MUL,Multi Specialty
NEP,Nephrology
NEU,Neurology
NSG,Neurological Surgery
NUC,Nuclear Medicine
OBG,Obstetrics/Gynecology
OCM,Occupational Medicine
ONC,Oncology/Hematology
OPH,Ophthalmology
ORS,Orthopedic Surgery
OTH,Other Specified
OTO,Otolaryngology
PAI,Pain Management Specialist
PED,Pediatrics
PHM,Physical Medicine/Rehab
PLS,Plastic Surgery
POD,Podiatry
PSY,Psychiatric
PTH,Pathology
PUL,Pulmonology
RAD,Radiology
RHU,Rheumatology
SLP,Sleep Medicine Specialist
SPM,Sports Medicine
THS,Thoracic Surgery
TRA,Transplant Surgery
TRM,Trauma Surgery
URO,Urology
VAS,Vascular Surgery
VIR,Vascular & Interventional Radio
