CODE3,EXPL3,STATE,
000,Desert Hematology Onc Med Grp,CA,
001,San Diego Pacific Onc/Hem Assoc,CA,
003,New Mexico Oncology Hematology,NM,
004,Oncology Specialists SC,IL,
005,East Manhattan Diagnostic,NY,
006,SLR Diagnostic Radiology PC,NY,
00D,Reproductive Medicine Institute,IL,
00F,Beaumont Emergency Medcn Phys,TX,
00G,Gulf Coast Cardiology,TX,
00H,Cancer Center Southeast Texas,TX,
00I,Southeast Texas Anesthesia,TX,
00J,Golden Triangle Foot & Ankle,TX,
00K,Beaumont Radiology Associates,TX,
00L,Surgical Critical Care Assocs,TX,
00N,Reliant Medical Group,MA,
00O,3B Orthopaedics,PA,
00P,SimonMed Imaging,AZ,
00Q,Vanguard Medical Group,IL,
00R,Saint Mary's Medical Group,NV,
00S,Griffin Faculty Physicians,CT,
00T,San Luis Valley Behvrl Hlth Grp,CO,
00U,Humboldt Medical Specialists,CA,
00W,Annadel Medical Group,CA,
00X,Allmed Medical Corp,CA,
00Y,Phoenician Medical Center INC,AZ,
00Z,Adelante Healthcare,AZ,
010,Hamilton Physician Group,GA,
011,Menlo Medical Group,CA,
012,Methodist Primary Care Group,TN,
013,Pueblo Community Health Center,CO,
014,Dallas Medical Physician Group,TX,
015,University Physicians Group,NY,
016,Peninsula Pathologists Med Grp,CA,
017,Cardiovascular Cnsltnts Med Grp,CA,
018,Community Psychiatry,CA,
019,Momentum For Mental Health,CA,
01B,All Health Primary Care Fl,FL,
01C,Paragon Physician Medical Group,CA,
01D,Advocate Good Sam. Care Ctr.,IL,
01E,St Mary High Desert Medical Grp,CA,
01F,San Jose Gastroenterology,CA,
01G,One Medical Group,CA,
01H,Baptist Health Medical Group,FL,
01I,Providence Medical Group,KS,
01J,Alliance Occupational Medicine,CA,
01K,South Bay Allergy & Asthma Grp,CA,
01L,Baywell Psychiatry Group,CA,
01M,Post Street Orthpdcs/Sprts Mdcn,CA,
01N,ValleyCare Medical Foundation,CA,
01O,Pacific Coast Psychiatric Asscs,CA,
01P,Cancer Care Institute,CA,
01Q,South Bay Brain & Spine,CA,
01R,Peninsula Ophthalmology Group,CA,
01S,Mission Peak Orthpaedics,CA,
01T,Southeast Health Group,CO,
01V,MountainStar Medical Group,UT,
01W,Four Rivers Behavioral Health,KY,
01X,Murphy Medical Group,NC,
01Y,Children's Medical Group,CA,
01Z,Rady Children's Specialists,CA,
020,Childrens Healthcare Med Assocs,CA,
021,Grossmont Pediatrics,CA,
022,Womens Healthcare,CA,
023,North County Womens Specialists,CA,
024,Gateway Medical Group San Diego,CA,
025,Children's Physicians Med Grp,CA,
026,Grossmont OB/GYN Medical Group,CA,
028,El Camino Pediatrics,CA,
029,Houston Methodist Prim Phys Grp,TX,
02A,Boulder Neurosurgical/Spn Assoc,CO,
02B,Children's Heart Clinic,MN,
02C,Desert Orthopedics,OR,
02D,Colorado Retina Associates,CO,
02E,Redlands Yucaipa Med Grp,CA,
02F,Radiology Medical Group,CA,
02G,Chaffey Medical Group,CA,
09V,Children's Medical Office,MA,
0A1,West Carrollton Medical,OH,
0A3,Westfield OB/GYN,OH,
0A4,Women's Health Group,OH,
0A7,Westlake Dermatology/Cosmetic,TX,
0A9,Urology Associates Of Ohio,OH,
0AD,Sycamore Medical Associates,OH,
0AE,Tri-State Pulmonary Assocs,OH,
0AG,Surgical Associates Cascades,OR,
0AJ,La Clinica Del Valle,OR,
0AM,Weiser & Associates,PA,
0AN,Western Psychological/Cnslng,OR,
0AP,West Phila Mntl Hlth Consrtm,PA,
0AQ,West Shore Family Practice,PA,
0AU,Women's Healthcare,PA,
0AV,Waterville Family Physicians,OH,
0B8,Whitehaven Southwst Mntl Hlth,TN,
0BA,Retreat Health Care,VT,
0BB,Cleveland Eye Clinic,OH,
0BC,Cleveland Skin Pathology,OH,
0BD,Milton Family Practice,VT,
0BE,Rutland Mental Health,VT,
0BF,Champlain Sports Medicine,VT,
0BG,Shaftsbury Medical Assocs Inc,VT,
0BI,Vermont Center Cancer Medcn,VT,
0BL,Mountain Valley Medical Clin,VT,
0BM,Comprehensive Counseling Svc,OH,
0BN,Mountain Health Center Inc,VT,
0BO,Comprehensive Women's Care,OH,
0BQ,Spinal Rehabilitation Assocs,TX,
0BS,Hovis Orthopedic Clinic,TN,
0BT,John Lawson Surgical Group,TN,
0BU,Memphis Health Center,TN,
0BW,Middle Tennessee Intrnl Medcn,TN,
0BZ,Ridgeview Psychiatric,TN,
0C4,Occupational Medicine Assocs,WA,
0C5,Wayne Hills Medical Assocs,NJ,
0C7,Tiverton Primary Care Assocs,RI,
0C9,Cardiology Associates,SC,
0CA,Affiliates For Women's Hlth,TX,
0CB,Austin Surgical Arts,TX,
0CC,Radiation Oncology Assocs,NH,
0CE,Women's Progressive Healthcr,NH,
0CK,Advanced Surgical Institute,FL,
0CM,Woods Mill Orthopedic Med Grp,MO,
0CN,Semo Otolaryngology Assocs,MO,
0CR,Medical Chest Associates,TX,
0CS,Mil-Lake Health Care Center,FL,
0CT,MidTex Anesthesia Associates,TX,
0CU,Manzano Medical Group,NM,
0CW,Shelby Pediatric Associates,MI,
0CX,American Anesthesiology,FL,
0CY,Elko ENT Specialists,NV,
0CZ,Pulmonary Medicine Associates,MI,
0D3,Alexandria Assocs Radiology,VA,
0D4,Broome Oncology,NY,
0D7,New Mexico Cardiac Care,NM,
0D9,Eastchester Eye Associates,NY,
0DA,Westfield Oral Surgery,NJ,
0DE,Womens Primary Care,NJ,
0DF,Womens Total Health,NJ,
0DG,Colon Rectal Associates Ctrl,NY,
0DI,Comprehensive Foot Care,NY,
0DK,Comprehensive Pain Management,NY,
0DM,Colonial Family Practice,SC,
0DP,Palmetto Retina Specialists,SC,
0DR,Piedmont Podiatry Associates,SC,
0DS,Sea Island Pediatrics Group,SC,
0DT,Brookfield Anesthesiology,WI,
0DU,Midwest Ear Nose & Throat,SD,
0DV,Mitchell Anethesia Med Grp,SD,
0DW,Montana Intrvntnl/Dgnstc RAD,MT,
0DY,Bluestone Pediatrics,VA,
0E4,Comprehensive Heart Care,TX,
0E5,Cardiology Assocs Montgomery,AL,
0E9,Wheatfield Pediatrics,NY,
0ED,Cardiac Care/Vascular Medcn,NY,
0EE,City Medical Associates,NY,
0EH,Buffalo Ear Nose & Throat Speci,NY,
0EI,Buffalo Eye Care Associates,NY,
0EK,Frontier Health,TN,
0EN,East Windsor Pediatrics,NJ,
0EO,Essex Oncology,NJ,
0ER,All Valley Pediatrics,TX,
0ET,Primary Care Medical Center,MS,
0EV,Southern Neuroscience Center,MS,
0EZ,Greater Lowell Psychiatrics,MA,
0F1,Northeast OH Nephrology Assoc,OH,
0F4,Princeton Gastroenterology,NJ,
0F5,Princeton Windsor Pediatrics,NJ,
0F6,Salartash Surgical Associates,NJ,
0F8,Shelton Oral Surgery Group,NJ,
0F9,Shore Cardiology Consultants,NJ,
0FA,WomenCare Obstetrics/Gynclgy,NY,
0FB,Women's Wellness Place,NY,
0FC,Women's Health Associates,NY,
0FG,Franklin Medical Group,OH,
0FH,Charak Center Health Wellness,OH,
0FJ,Metabolic Associates,NJ,
0FL,South Dayton Internists,OH,
0FM,Shang Y Rhee MD & Associates,OH,
0FO,OB/GYN Limited,OH,
0FP,Summit Psychological Assocs,OH,
0FQ,Middlebrook Family Phys Grp,NJ,
0FT,Morris County Orthopedic Group,NJ,
0FU,Neal Guttleman MD & Assocs,NJ,
0FV,Nephrology & Hypertnsn Assoc,NJ,
0FZ,OB/GYN Group Of Perth Amboy,NJ,
0G2,Manasota Medical,FL,
0G4,Ramapo Ophthalmology Assocs,NY,
0G5,Columbia Basin Imaging,WA,
0G6,Community Healthcare Clinic,WA,
0G7,Elma Family Medicine,WA,
0G8,Grand Prairie Pediatric/Allgy,OK,
0GB,Shore Rheumatology Associates,NJ,
0GE,Selden Podiatry,NY,
0GF,Seton Imaging,NY,
0GH,Soho OB/GYN,NY,
0GI,South Bay Medical,NY,
0GJ,OSU Physicians,OK,
0GL,University Of FL Womens Hlth,FL,
0GM,Southtown's Women's Group,NY,
0GO,Monnett Eye Center,FL,
0GP,Multicare Specialists,FL,
0GS,Marc M Kress MD & Associates,PA,
0GW,Med One Medical Center,FL,
0GX,Medi Quick Urgent Care,FL,
0GZ,Central Oregon Emergency Phys,OR,
0H2,Occupational Medical Center,FL,
0H3,Professional Medical Services,NY,
0H5,Meadville Emergency Phys,PA,
0H6,Mackell Cody & Burrows Ortho,PA,
0H9,Family Medical Ctrs Mgmt Inc,FL,
0HB,Empire Eye Physicians PS,WA,
0HD,Eye Care Specialists PS,WA,
0HE,Attleboro Medical Associates,MA,
0HJ,Podiatry Affiliates PC,NY,
0HL,Franklin Park Urgent Care,WA,
0HM,Gray Lehman & Danley MDs,WA,
0HN,Cardiology Internists,MA,
0HP,Suffolk Chest Physicians,NY,
0HR,Primary Care Woman's Hlth,NY,
0HS,Suffolk Vascular Associates,NY,
0HV,Parkview Pathologists,NY,
0HW,Pediatric Center,NY,
0HZ,Pediatric Health Care Queens,NY,
0I0,North Country Medical Assocs,NY,
0I4,Gates Hospitalists,MO,
0I6,Peachtree Pediatrics,NC,
0IA,Older & Slonim Eye Lid Inst,FL,
0IC,Physicians Services Inc,FL,
0ID,Poeltl & Rougraff MDs,FL,
0IJ,Maple Tree Family Practice,NY,
0IL,Mosholu Park Radiology,NY,
0IM,Murray Hill Dermatlgy Assocs,NY,
0IN,Neurology Associates Rochstr,NY,
0IO,Cypress Anesthesia,KS,
0IQ,Northtown Podiatry,NY,
0IR,Northeastern Radiation Onclgy,NY,
0IT,Nuclear Medicine Associates,NY,
0IV,OB/GYN Associates Finger Laks,NY,
0IW,OB/GYN Associates Larchmont,NY,
0IX,Oncology Hematology White Pln,NY,
0IY,Mia Wan MDs PLLC,NY,
0J4,Nulton Diagnostics/Trtmnt Ctr,PA,
0J7,Foot & Ankle Associates,NC,
0J9,Goldsboro Family Physicians,NC,
0JA,Medical Center Of Bustleton,PA,
0JB,Mercy Behavioral Health,PA,
0JD,New Falls Medical Center,PA,
0JK,Western Carolina Digestv Cons,NC,
0JN,Eye Professionals,ND,
0JO,Ostad Medical Group,NY,
0JS,Belilovsky Pediatrics,NY,
0JT,Benedicto & Figueroa Med Grp,NY,
0JW,Goldsboro Pediatrics,NC,
0JX,Orthopedic Associates,LA,
0JY,Arboretum OB/GYN,NC,
0K1,Springfield Medical Group,NJ,
0K3,Stafford Medical,NJ,
0K8,Med One Medical Group,NC,
0K9,Obstetric Anesthesia Assocs,OH,
0KA,Goshen Medical Center,NC,
0KB,Growing Up Pediatrics,NC,
0KD,Beach Medical,NC,
0KE,Blue Ridge Radiology Assocs,NC,
0KG,Carolina Fam Medcn/Urgnt Care,NC,
0KJ,Carolina Kidney/Endocrine Ctr,NC,
0KK,Family Practice Associates,AZ,
0KL,Carolina Kidney Care PA,NC,
0KM,Carolina Partners Mental Health,NC,
0KO,Carrboro Family Medicine Ctr,NC,
0KR,Clinton X-Ray Associates,NC,
0KS,Bishop Pediatrics & Allergy,CA,
0KV,Allergy & Asthma Specialty Serv,WA,
0KZ,Spine Care Orthopedics,NJ,
0L2,Medical Doctor At Home,IL,
