Code4,Health System Code,STATE
ASF,AABR,NY
06K,Abbott House,NY
062,ABCM Corporation,IA
06H,Ability Beyond,CT
09A,Abington Health,PA
HHA,ABM Healthcare Support Services,MI
0AB,Abrazo Health,AZ
068,ABS Management Company,IL
PAS,Absolut Care,NY
YTH,Acadia Healthcare,TN
05U,ACCORD Healthcare Corporation,FL
HCG,ActivCare Living,CA
PUM,Acts Retirement Life Commnities,DE
05N,Acts Retirement Life Community,PA
075,Adcare Health Systems,GA
ADY,Adena Health System,OH
09V,Adirondack Health,NY
GRS,Advanced Care Management,MS
PEM,Advanced Healthcare Solutions,TX
CCR,Advantage Trust Purchasing Grp,IL
06J,Adventist Care Centers,FL
AAU,Adventist Health,CA
AAD,Adventist Health System,FL
AAV,Adventist Healthcare,MD
ADC,Advocate NorthShore Hlt Prtnrs,IL
SHY,Advocate Sherman Health System,IL
AVT,Advocates For Services,NY
ADD,AEDD Inc,AR
CA1,Aegis Living,WA
ASP,Affiliated Svc Providers Of IN,IN
AFN,Affinity Health Care Management,CT
AFI,Affinity Health Services,PA
AYH,Affinity Health System,WI
ABR,Aging Services Of Minnesota,MN
AAI,Agnesian Healthcare,WI
AHH,AHMC Healthcare,CA
AHW,Ahwatukee Adult Care,AZ
AHF,AIDS Health Foundation,CA
07B,AIM Services Inc,NY
AKS,Akron General Health System,OH
AKR,Akron Regional Hospital Assn,OH
04E,Alameda Health System,CA
ABD,Albany Medical Center,NY
AAW,Albert Einstein Hlthcare Netwrk,PA
ALD,Alden Network,IL
AAA,Alegent Creighton Health,NE
ABH,Alexian Brothers Health System,IL
FTE,Allegiance Health System,MI
ALI,Alliance For Health,MI
ALL,Alliant Management Services,KY
ALS,Allied Services,PA
AAB,Allina Health System,MN
HPI,Alta Care Corporation,GA
ATA,Alta Hospitals System,CA
AEE,Altercare Of Ohio,OH
ATR,Altru Health System,ND
04O,Altus Management LLC,NY
05P,American Baptist Homes,MN
AMB,American Baptist Homes Of West,CA
AHR,American Habilitation Services,TX
AMN,American Healthcare Associates,IA
AER,American Healthcare LLC,VA
AHA,American Hospital Association,IL
05Q,American Hospitality Group,OH
ARE,American Religious Town Hall,TX
AME,American Senior Communities,IN
ASH,American Shared Hospital Svs,CA
06F,Americare,MO
NAP,Americas Essential Hospital,DC
07Q,Amerinet,PA
07U,Amerinet Inc,UT
ABT,Amerinet Inc,MO
AMI,Ameris Health,TN
AMF,AMFM LC,WV
09S,Amsurg Corp,TN
ACG,Anmed Health System,SC
ANN,Anne Grady Services,OH
APH,Apalachee Center Inc,FL
LCH,Aperion Care Bridgeport,IL
APR,Appalachian Regional Healthcare,KY
APE,Apple Rehab,CT
AHS,Appling Health Care System,GA
ARA,Ararat Homes Of Los Angeles,CA
WAK,Arcare,AR
ARB,Archbold Home Health Services,GA
04G,ArchCare,NY
AHG,Ardent Health Services,TN
AIH,Aria Health,PA
094,Arise Health Care,TX
ARI,Arizona Hospital & Healthcare,AZ
ARK,Arkansas Hospital Association,AR
AAO,Asante Health System,OR
ASY,Asbury,MD
ASB,Asbury Inc,TN
08O,Ascension Health,MO
AAL,Ascension Health,MO
AAS,Aspirus Inc,WI
08H,Associated Purchasing Svcs Corp,KS
AST,Asta Healthcare,IL
RDS,Athena Health Services,CT
06X,Athenia Assisted Living,OH
AGM,Atlantic General Health System,MD
AAE,Atlantic Health System,NJ
ATC,Atlanticare Health System,NJ
AIA,Atria Senior Living Group,KY
CCG,Atrium Centers Inc,OH
08Q,Atrium Living Centers,OH
ATH,Atrius Health,MA
AHC,Aurora Health Care,WI
AUT,Autumn Corporation,NC
AVO,Avalon Healthcare,UT
AVR,Avamere Health Services,OR
AGI,Avante Group Inc,FL
AAM,Avera Health,SD
AVP,Avera-PACE,SD
BLF,Balfour Senior Living,CO
BLL,Ball Healthcare Services Inc,AL
BNS,Banner Health,AZ
BH1,Baptist Health,AL
BHM,Baptist Health,AR
BH2,Baptist Health Care,FL
BHF,Baptist Health Of NE FL,FL
B01,Baptist Health South Florida,FL
BHA,Baptist Health System,AL
BPH,Baptist Health System,TX
BAN,Baptist Health Systems,MS
BAH,Baptist Healthcare System,KY
BAB,Baptist Memorial Health Care,TN
BPR,Baptist Retirement Homes Of NC,NC
BSA,Baptist St Anthony's Hlth Sys,TX
BPT,Baptist Village Inc,GA
BRX,Barix Clinics,MI
SAW,Barnabas Health,NJ
BAQ,Barton Management,IL
BAC,Baycare Health System,FL
BYC,Bayfront Health System,FL
BYH,Bayhealth Medical Center,DE
BAY,Baylor Scott & White Health,TX
BYS,Baystate Health System,MA
SRN,Be Group,CA
BEA,Beacon Communities Inc,GA
MHS,Beacon Health System,IN
BAG,Beaumont Health,MI
BEE,Beehive Management Group,OR
BHV,Behavioral Health Services,CA
LAL,Beikirch Care Center,NY
BHH,Bellin Health Care System,WI
NRH,Bellin Health Northreach,WI
079,Benchmark Senior Living,MA
BEN,Benedictine Health System,MN
BFS,Benefis Health System,MT
BNH,Benhaven Inc,CT
BHS,Berger Health System,OH
BAR,Berkshire Health System,MA
BEL,Bethany Lutheran Homes,WI
BEH,Bethany Retirement Living,ND
BTH,Bethany St Joseph Corporation,WI
BAI,Bethesda Health,FL
BEG,Bethesda Health Group Inc,MO
GDS,Bethesda Lutheran Communities,WI
BTE,Bethesda Senior Living Comm,CO
BSH,Bethshan Association,IL
BFF,Beverly Farm Foundation,IL
BJC,BJC Healthcare,MO
BLA,Blanchard Valley Health,OH
0A2,Blue Ridge HealthCare,NC
BLR,Blue Ridge Nursing Homes,GA
040,Bon Secours Baltimore Hlth Sys,MD
03X,Bon Secours Charity Health Sys,NY
03V,Bon Secours Hampton Roads,VA
BAX,Bon Secours Health System,MD
03W,Bon Secours Kentucky Health Sys,KY
03Z,Bon Secours Richmond Health Sys,VA
03Y,Bon Secours St Frncs Hlth Sys,SC
041,Bon Secours St Petersburg Hlth,FL
BXX,Borgess Health,MI
BRZ,Bortz Health Care,MI
BAK,Boston University School Med,MA
BOU,Bournewood Health System,MA
BRA,Bradford Health Services,AL
BRW,Brandywine Senior Living LLC,NJ
BRD,Brentwood Health Management,LA
BSL,Brightview Senior Living,MD
BRS,Bristol Care Inc,MO
ABF,Broadlawns Medical Center,IA
BRH,Broadway Healthcare Management,NJ
BAU,Bronson Healthcare Group,MI
ARC,Brookdale Senior Living,TN
HOR,Brookdale Senior Living,FL
BKS,Brooks Health System,FL
NBW,Broward Health,FL
BRY,Bryan Health,NE
BUC,Buckeye Community Services,OH
BUK,Buckner International,TX
BUE,Buena Vida Estates,FL
BA6,Butler Health System,PA
DEL,Cadence Health,IL
CLF,California Hospital Association,CA
CAM,Cambridge Health Alliance Mgmt,MA
05V,CAMC Health System Inc,WV
CTD,Cancer Treatment Ctrs America,IL
CNX,Cantex Continuing Care Network,TX
CCJ,Cape Cod Healthcare,MA
CFV,Cape Fear Valley Health System,NC
CPH,Capella Healthcare,TN
CLH,Capital Health,NJ
MLT,Capital Health Services,OH
CPI,Capital Living & Rehab Ctrs,NY
CSN,Capital Senior Living,TX
052,Capstone Health Alliance,NC
08K,Cardinal Health,OH
CDR,Cardinal Ritter Senior Services,MO
CAO,Cardon & Associates,IN
CRP,Care Centers Management Grp Inc,TN
CAR,Care Group,MA
CAI,Care Initiative,IA
CIO,Care Inn Properties,TX
CBI,Care New England Health System,RI
CAG,Care Spring,OH
CTE,Care Tech Inc,CA
CCP,CarePartners Health Services,NC
CBU,Caribou Nursing Homes,ME
CYZ,Carilion Clinic,VA
CFI,Caring First Inc,IL
ITR,Carlton Senior Living,CA
CSW,Carmelite Sisters For The Aged,NY
C03,Carolinaeast Health System,NC
CIN,Carolinas Healthcare System,NC
04V,Carolinas Shared Services,NC
CMH,Caromont Health,NC
044,Carondelet Health,MO
042,Carondelet Health Network,AZ
CGE,Carriage Healthcare Companies,CO
CCY,Castle Country Assisted Living,CO
HFM,Castle Partners,MO
CCE,Catholic Charities,NY
05F,Catholic Health Association,MO
CAC,Catholic Health Initiatives,CO
072,Catholic Health Services,FL
CLI,Catholic Health Svs Long Island,NY
CHY,Catholic Health System,NY
CHC,Catholic Healthcare Services,PA
CED,Cedars-Sinai Health System,CA
CHL,Centegra Health System,IL
CRA,Center For Health Affairs,OH
BAO,Center Light Health Services,NY
CAT,Centra Health Inc,VA
CCZ,Centracare,MN
CAK,Central Arkansas Nursing Ctrs,AR
CBE,Central Georgia Health System,GA
CMZ,Central Maine Healthcare,ME
CMG,Central Management,LA
CAX,Centrastate Healthcare System,NJ
CEH,Centura Health,CO
04N,Ceres Purchasing Solutions,TX
CER,Certified Health Management Inc,IL
CHP,Champaign Residential Svs Inc,OH
CPR,Champlain Valley Physcns Hosp,NY
CAN,Chancellor Healthcare Inc,CA
C01,Chartercare Health Partners,RI
CBH,CHE Trinity Health,PA
TYH,CHE Trinity Health,MI
CSR,Chelsea Senior Living,NJ
F01,CHI Franciscan Health,WA
MA6,CHI St Luke's Health Memorial,TX
05X,Children's Hospital Association,KS
CHD,Children's Hospitals & Clinics,MN
CBG,Children's Mercy Hosps & Clinic,MO
CEM,Children's Of Alabama,AL
CHA,Childrens Healthcare Of Atlanta,GA
CHS,Childrens Hospital & Hlth Sys,WI
CIQ,Childserve,IA
CHM,Chimes,MD
CIC,Choice Health Management Svs,NC
CII,Christian Care Centers,TX
CHK,Christian Care Communities,KY
CHI,Christian Homes Inc,IL
CA4,Christiana Care Health System,DE
CUS,Christus Health,TX
0AI,Christus Health Northern LA,LA
0AL,Christus Santa Rosa Hlth Sys,TX
0AM,Christus Spohn Health System,TX
