Code5,Hospital Code,STATE
005,Anmed Health Womens/Chldrn Hspt,SC
007,Anmed Rehabilitation Hospital,SC
008,Levine Childrens Hospital,NC
009,Carolinas Rehabltn Mount Holly,NC
00A,Jefferson Hospital Neuroscience,PA
00B,Tyler Continue Care Hospital,TX
00C,Saint Anthony Hospital,WA
00D,Cancer Treatment East Reg Med,PA
00E,Cancer Treatment Ctr SE Reg Ctr,GA
00F,Cancer Center Of America At Wes,AZ
00H,Stafford Hospital,VA
00I,Seton Medical Center Harker Hts,TX
00J,Bethesda Hospital West,FL
00K,Summa Rehab Hospital,OH
00L,Palmetto Health Baptist Med Ctr,SC
00M,Cornerstone Hospital N Lttl Rck,AR
00N,Solara Hospital Brownsville,TX
00O,Solara Hospital Of Edinburg,TX
00P,Solara Hospital Harlingen,TX
00Q,Solara Hospitals Of Mcallen,TX
00R,Cornerstone Hospital & Med Ctr,TX
00S,Cornerstone Hospital Of Conroe,TX
00T,Solara Hospital Muskogee,OK
00U,Via Christi Hospital Saint Trsa,KS
00V,Integris Jim Thorpe Rehab Hosp,OK
00Y,Atrium Medical Center,TX
00Z,Palomar Medical Center,CA
010,Carolinas Health Sys BH,NC
011,Jeff Gordon Children's Hospital,NC
012,Carolinas Rehabilitation NE,NC
013,Haymarket Medical Center,VA
014,St Marys Hospital Wmn & Chldrn,IN
015,Ministry St Josephs Chldrns Hsp,WI
017,St Vincent Seton Specialty Hosp,IN
018,AB Women & Childrens Hosp,IL
019,Columbia St Marys Womens Hosp,WI
01A,Hoag Orthopedic Institute,CA
01F,Cedar Park Regional Medical Ctr,TX
01G,HUMC Pascack Valley,NJ
01H,Lovelace Regional Hospital Rswl,NM
01I,Kaiser Permanente Med Ctr Vacvl,CA
01J,Mayaguez Med Ctr Dr Ramn Emetr,PR
01K,Surgical Hospital Of Oklahoma,OK
01L,Midwest Orthopedic Spclty Hosp,WI
01M,Hospital Universitario Dr Ramon,PR
01N,Hospital Oncologico Dr Isaac G,PR
01O,Kaiser Permanente Antioch,CA
01P,Hospital Universitario Adultos,PR
01Q,Franciscan Saint Francis Hlth,IN
01R,Niswonger Children's Hospital,TN
01S,Horizon Speclty Hospital Hndrsn,NV
01T,The Heart Hospital,IN
01U,Banner Goldfield Medical Center,AZ
01W,Texas Health Harris Methodist,TX
01X,Lone Tree Health Center,CO
01Y,Presbyterian Rust Medical Centr,NM
01Z,Banner Ironwood Medical Center,AZ
020,UPMC Montefiore,PA
022,Riley Children's Hospital,IN
023,Loma Linda Heart/Surgical Hosp,CA
024,Loma Linda Univ Chldrns Hosp,CA
026,Compass Mental Health,LA
