Code6,IPA Code,STATE
000,Accountable Health,CA
AAH,Alamitos I,CA
ADO,ADOC I,CA
AEH,Altamed,CA
AGL,Angeles I,CA
AHX,Associated Hispanic Phys,CA
AIL,Allied Physicians,CA
APC,Apple Care Medical Group,CA
APG,Alaska Physicians & Surgeons,AK
ASI,Asian Community Medical Grp,CA
BAC,Brookshire,CA
BAH,Brown & Toland Medical Group,CA
BAJ,Bay Valley I,CA
BRE,Brevard Professional Network,FL
BVI,Boulder Valley,CO
CAH,Childrens Healthcare Assocs,NJ
CAI,Children's Community Phys,IL
CAJ,Central Massachussetts I,MA
CAK,Cal Care I,CA
CAN,Connecticut State Med SocI,CT
CAT,Choice Plus Network,MA
CAV,Cedars Sinai Health AssocI,CA
CEK,Central Oregon I,OR
CJI,Central Jersey,NJ
CWI,Citrus Valley,CA
CZM,Catholic,NY
CZN,Chinese American I,NY
DCY,Douglas County,OR
EAA,Elmcare-PHO,IL
EAD,Empire Physicians Med Grp,CA
EAH,Elmhurst Physician Assn IPA,IL
FAD,Family Choice,CA
GAC,Gottlieb West Town,IL
GAD,Gemcare Medical Group,CA
GAH,Genesis Physicians Group,TX
GBC,Global Care,CA
GIP,Greater Rochester Indep Phys,NY
GNP,Greater Newport Physicians,CA
GRC,Greater Covina,CA
HAA,Health Plus Of Michigan,MI
HAF,Huron Valley Physicians Assn,MI
HAO,Health First Physicians,FL
HCP,Healthcare Partners Med Grp,CA
HIN,Hinsdale Physicians,IL
HLP,Hill Physicians,CA
HWP,Hawaii,HI
IAA,Independent Physicians Ntwrk,WI
IAD,Imperial County Physicians,CA
JAA,Jefferson,TX
JMI,Muir Medical Group,CA
LAE,La Salle Medical,CA
LAW,Lakewood Health Plan,CA
LIP,Lane Individual Prac Assn,OR
LKS,Lakeside Medical Group,CA
MAG,Medical Network One,MI
MAN,Memorial Hermann Health Ntwk,TX
MAQ,Mid Rogue I,OR
MAS,Mesa County Physicians IPA,CO
MAU,Managed Healthcare,IL
MDO,Mid Coast,CA
MFD,Middlesex,CT
MFF,Morris-Somerset,NJ
MPH,Mills Peninsula Medical Grp,CA
MPZ,Mercy Physicians,CA
MSN,Mission Community I,CA
MTW,Metro West,NJ
NAY,Noble Ama Select,CA
NEQ,New England Quality Care Allian,MA
NMI,North Mississippi,MS
NOR,Northridge Medical Group,CA
NWJ,Norwalk,CT
NWN,Northwest Physicians Ntwk,WA
NXN,North Texas Specialty Phys,TX
PA1,Primecare Of San Bernardino,CA
PAA,PrimeCare Of Chino,CA
PAD,Primecare Of Inland Valley,CA
PAF,Primecare Of Moreno Valley,CA
PAI,Physicians Of SW Washington,WA
PAN,Physicians Nevada,NV
PAS,Primecare Corona/Riverside,CA
PAT,Primecare Of Temecula,CA
PAV,PrimeCare Of Redlands,CA
PAY,Primecare Of Hemet,CA
PAZ,PrimeCare Of Sun City,CA
PCD,Physicians Of Cape Cod,MA
PFI,Preferred I,CA
PIM,Physicians Med Grp San Jose,CA
POV,ProMed,CA
PPD,ProMed Health Network Pomona,CA
PPF,Primary Physicians Partners,CO
PRE,Presbyterian Health Phys,CA
PVY,Pomona Valley,CA
RAV,Ravenswood Physicians Assocs,IL
RCP,River City Medical Group,CA
REG,Regal Medical Group,CA
RHE,Rochester Community Indv Prac,NY
RNS,Renaissance,TX
SAA,Seaview,CA
SAD,San Diego Physicians,CA
SAN,San Juan,NM
SAO,Sharp Community Medical Group,CA
SAQ,South Georgia Physicians Assn,GA
SAS,Southern New Mexico,NM
SBS,Santa Barbara Select,CA
SRX,Stones River,TN
STB,Saint Barnabas,NJ
SUI,St Luke's,TX
SVI,St Vincents,CA
TAI,Tri State I,IA
TAO,Tri-State Medical Group,IN
TCY,Greater Tri-Cities I,CA
TOP,Tiopa,TX
UAE,United Physicians PC,MI
UNF,Unified Physicians South Bay,CA
WCI,West Covina,CA
WES,Western Physicians Alliance,NV
XMD,XIMED,CA
