zip,city,area_code,county,state,metro
60064,Abbott Park,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60101,Addison,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60001,Alden,815/779,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60033,Alden,815/779,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60102,Algonquin,847/224,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60156,Algonquin,847/224,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60803,Alsip,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60678,American National Bank,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60666,Amf Ohare,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60002,Antioch,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60501,Argo,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60004,Arlington Heights,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60005,Arlington Heights,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60006,Arlington Heights,847/224,Cook County,Illinois - IL,"Chicago, IL (1600)"
60652,Ashburn Park,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60572,AT & T,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60502,Aurora,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60503,Aurora,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60504,Aurora,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60505,Aurora,630/331,Kane County,Illinois - IL,"Chicago, IL (1600)"
60506,Aurora,630/331,Kane County,Illinois - IL,"Chicago, IL (1600)"
60507,Aurora,630/331,Kane County,Illinois - IL,"Chicago, IL (1600)"
60568,Aurora,630/331,Kane County,Illinois - IL,"Chicago, IL (1600)"
60572,Aurora,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60598,Aurora,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60599,Aurora,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60481,Ballou,815/779,Will County,Illinois - IL,"Chicago, IL (1600)"
60674,Bank of America,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60682,Bank of America,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60693,Bank of America,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60696,Bank of America,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60697,Bank of America,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60015,Bannockburn,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60010,Barrington,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60011,Barrington,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60010,Barrington Hills,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60021,Barrington Hills,847/224,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60102,Barrington Hills,847/224,McHenry County,Illinois - IL,"Chicago, IL (1600)"
60103,Bartlett,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60133,Bartlett,630/331,Cook County,Illinois - IL,"Chicago, IL (1600)"
60510,Batavia,630/331,Kane County,Illinois - IL,"Chicago, IL (1600)"
60539,Batavia,630/331,Kane County,Illinois - IL,"Chicago, IL (1600)"
60083,Beach Park,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60087,Beach Park,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60099,Beach Park,847/224,Lake County,Illinois - IL,"Chicago, IL (1600)"
60455,Bedford Park,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60458,Bedford Park,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60459,Bedford Park,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60499,Bedford Park,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60501,Bedford Park,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60629,Bedford Park,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60638,Bedford Park,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60401,Beecher,708/464,Will County,Illinois - IL,"Chicago, IL (1600)"
60104,Bellwood,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60105,Bensenville,708/464,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60106,Bensenville,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60399,Bensenville,708/464,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60163,Berkeley,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60402,Berwyn,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60511,Big Rock,630/331,Kane County,Illinois - IL,"Chicago, IL (1600)"
60108,Bloomingdale,630/331,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60117,Bloomingdale,708/464,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60406,Blue Island,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60439,Bolingbrook,630/331,Cook County,Illinois - IL,"Chicago, IL (1600)"
60440,Bolingbrook,630/331,Will County,Illinois - IL,"Chicago, IL (1600)"
60490,Bolingbrook,630/331,Will County,Illinois - IL,"Chicago, IL (1600)"
60538,Boulder Hill,630/331,Kendall County,Illinois - IL,"Chicago, IL (1600)"
60407,Braceville,815/779,Grundy County,Illinois - IL,"Chicago, IL (1600)"
60105,Bradford Group,708/464,Du Page County,Illinois - IL,"Chicago, IL (1600)"
60408,Braidwood,815/779,Will County,Illinois - IL,"Chicago, IL (1600)"
60455,Bridgeview,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
